frame:[844] center:[808, 192]
frame:[845] center:[805, 198]
frame:[846] center:[803, 206]
frame:[847] center:[801, 208]
frame:[848] center:[796, 214]
frame:[852] center:[783, 246]
frame:[853] center:[785, 250]
frame:[854] center:[779, 259]
frame:[855] center:[774, 263]
frame:[856] center:[775, 272]
frame:[857] center:[771, 281]
frame:[858] center:[757, 293]
frame:[859] center:[758, 293]
frame:[860] center:[756, 299]
frame:[861] center:[745, 316]
frame:[862] center:[747, 319]
frame:[863] center:[745, 330]
frame:[864] center:[729, 349]
frame:[865] center:[728, 350]
frame:[866] center:[727, 360]
frame:[867] center:[713, 393]
frame:[868] center:[712, 394]
frame:[869] center:[711, 407]
frame:[870] center:[704, 452]
frame:[871] center:[700, 453]
frame:[872] center:[692, 467]
frame:[873] center:[683, 504]
frame:[874] center:[683, 512]
frame:[875] center:[674, 530]
frame:[876] center:[662, 565]
frame:[877] center:[658, 568]
frame:[878] center:[651, 588]
frame:[879] center:[634, 634]
frame:[880] center:[630, 641]
frame:[881] center:[622, 663]
frame:[882] center:[607, 714]
frame:[883] center:[605, 725]
frame:[884] center:[578, 777]
